yyyy,mm,tmax,tmin,latitude,longitude
2016,9,19.6,11.9,,
2016,10,14.3,6.5,,
2016,11,9,1.6,,
2016,12,9.3,1.7,,
2017,1,7.2,0.9,,
2017,2,8.9,3,,
2017,3,12.5,4,,
2017,4,13.4,4.1,,
2017,5,18.1,7.9,,
2017,6,20.2,11.8,,
2017,7,21.7,12.1,,
2017,8,19.6,11.3,,
2017,9,17.2,9.2,,
2017,10,15.5,8.8,,
2017,11,10.3,3.1,,
2017,12,7.9,1,,
2018,1,8.1,1.8,,
2018,2,6.2,-0.5,,
2018,3,8.1,0.8,,
2018,4,13.3,5.4,,
2018,5,18.7,6.9,,
2018,6,21.5,10.5,,
2018,7,25.2,12.2,,
2018,8,21.3,12.2,,
2018,9,17.6,8.8,,
2018,10,14.5,6.1,,
2018,11,10.9,4.5,,
2018,12,9.6,3.7,,
2019,1,6.9,0.7,,
2019,2,11.3,1.2,,
2019,3,11.6,3.6,,
2019,4,13.9,3.9,,
2019,5,16,6.1,,
2019,6,18.2,9.9,,
2019,7,21.8,12.5,,
2019,8,21.4,12.9,,
2019,9,18.5,9.5,,
2019,10,13.3,5.8,,
2019,11,8.7,3.5,,
2019,12,8.4,2.2,,
2020,1,9.2,3.4,,
2020,2,9.7,2.7,,
2020,3,10.6,1.6,,
2020,4,16,4.2,,
2020,5,18.3,6.3,,
2020,6,19.9,11.1,,
2020,7,19.5,11.5,,
2020,8,21.5,13,,
2020,9,18.4,8.8,,
2020,10,13.4,7,,
2020,11,11.7,4.6,,
2020,12,7.6,1.8,,
2021,1,6.1,-0.3,,
2021,2,8.5,1.6,,
2021,3,10.8,3.5,,
2021,4,11.9,0.9,,
2021,5,14.3,5.3,,
2021,6,20.2,10.3,,
2021,7,22.4,12.8,,
2021,8,19.7,11.8,,
2021,9,20.5,11.2,,
2021,10,15.4,8.7,,
2021,11,10.8,3.6,,
2021,12,8.8,3.6,,
2022,1,8.2,0.7,,
2022,2,10.3,2.9,,
2022,3,12.2,2.1,,
2022,4,14,3.3,,
2022,5,17.2,8.5,,
2022,6,19.7,9.3,,
2022,7,22.9,12.3,,
2022,8,24.1,11.8,,
2022,9,18.6,9.9,,
2022,10,16.4,8.4,,
2022,11,11.7,5.6,,
2022,12,6.8,-0.5,,
2023,1,8.6,1.6,,
2023,2,10.2,2.2,,
2023,3,10.3,3.5,,
2023,4,12.7,4.5,,
2023,5,17.6,7.2,,
2023,6,22.6,11.3,,
2023,7,20.1,11.6,,
2023,8,20.1,11.5,,
2023,9,21.1,11.5,,
2023,10,15.6,8.2,,
2023,11,10.5,3.7,,
2023,12,9.7,3.8,,
2024,1,7.6,1.4,,
2024,2,11,3.8,,
2024,3,11.3,4,,
